Obama
502.0
1.0
2.0
0.0
2.0
0.0
3098.0
27.0
1.0
48.0
0.0
4.0
8.0
12.0
5.0
1.0
1.0
9.0
0.0
1.0
0.0
0.0
0.0
4.0
51.0
3.0
2.0
0.0
11.0
0.0
6.0
0.0
26.0
8.0
2.0
37.0
404.0
20.0
0.0
7.0
2.0
0.0
1.0
267.0
1.0
9.0
5.0
2.0
0.0
1.0
2.0
0.0
84.0
6.0
0.0
1.0
47.0
0.0
8.0
0.0
0.0
147.0
0.0
0.0
28.0
59.0
24.0
42.0
0.0
5.0
8.0
0.0
1.0
25.0
4.0
2.0
3.0
214.0
110.0
922.0
814.0
43.0
515.0
12.0
9.0
127.0
31.0
2.0
118.0
0.0
75.0
35.0
9.0
9.0
0.0
58.0
8.0
21.0
1.0
23.0
173.0
0.0
8.0
2.0
0.0
3.0
66.0
0.0
23.0
0.0
0.0
0.0
0.0
95.0
0.0
3.0
2.0
0.0
2.0
6.0
3.0
74.0
2.0
0.0
2.0
7.0
7.0
1.0
0.0
18.0
0.0
6.0
1.0
148.0
0.0
21.0
0.0
1.0
29.0
74.0
51.0
0.0
4.0
4.0
504.0
3.0
0.0
0.0
0.0
0.0
0.0
0.0
16.0
9.0
2.0
0.0
11.0
19.0
0.0
0.0
0.0
28.0
30.0
8.0
1.0
21.0
11.0
0.0
0.0
3.0
457.0
15.0
0.0
4.0
12.0
0.0
0.0
1.0
42.0
117.0
0.0
0.0
4.0
217.0
6.0
33.0
2233.0
1.0
0.0
0.0
0.0
7.0
186.0
55.0
1.0
3.0
5331.0
